"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 07:13:15 UTC 2025","Fri Mar 28 07:13:32 UTC 2025","17326","","u-flow-upload-to-attsto","","","","Upload files",""
"skipped","Fri Mar 28 07:03:27 UTC 2025","Fri Mar 28 07:03:27 UTC 2025","2","","u-flow-log-levels","","","","Create Session log for level 512 LOG_DBUG",""
"passed","Fri Mar 28 07:14:37 UTC 2025","Fri Mar 28 07:14:37 UTC 2025","754","","u-flow-upload-to-attsto","","","","Log out",""
"passed","Fri Mar 28 07:18:08 UTC 2025","Fri Mar 28 07:18:08 UTC 2025","203","","w-flow-hp-count-001","","","","15-Locking function GESSKH",""
"passed","Fri Mar 28 06:06:08 UTC 2025","Fri Mar 28 06:06:19 UTC 2025","11107","","u-crud-attach-file-not-secure","","","","Attach files to table",""
"passed","Fri Mar 28 06:43:20 UTC 2025","Fri Mar 28 06:43:34 UTC 2025","14364","","u-flow-api-gesapiope","","","","Create package ""TEST_GESAPIOPE_1""",""
"passed","Fri Mar 28 07:04:25 UTC 2025","Fri Mar 28 07:04:44 UTC 2025","18515","","u-flow-patch-a-folder","","","","Change table ZABANK",""
"passed","Fri Mar 28 06:05:29 UTC 2025","Fri Mar 28 06:05:47 UTC 2025","17930","","u-crud-attach-file-not-secure","","","","Set ATTSECUR to No",""
"passed","Fri Mar 28 06:29:58 UTC 2025","Fri Mar 28 06:30:00 UTC 2025","2707","","u-flow-api-activity-codes-package-link","","","","Create Activity codes",""
"passed","Fri Mar 28 06:45:16 UTC 2025","Fri Mar 28 06:45:44 UTC 2025","28554","","u-flow-api-gesapiope","","","","Create operation ""TEST_OPE_GESAPIOPE_1""",""
"skipped","Fri Mar 28 06:55:31 UTC 2025","Fri Mar 28 06:55:31 UTC 2025","1","","u-flow-api-nodes-based-on-views","","","","Deactivate view ZAVVTEXTRA",""
"passed","Fri Mar 28 06:31:27 UTC 2025","Fri Mar 28 06:31:28 UTC 2025","902","","u-flow-api-activity-codes-package-link","","","","Log out",""
"passed","Fri Mar 28 06:42:51 UTC 2025","Fri Mar 28 06:43:01 UTC 2025","10001","","u-flow-api-gesapiope-class","","","","Delete-""GESACLA""-""ZACTIV""",""
"passed","Fri Mar 28 07:00:10 UTC 2025","Fri Mar 28 07:00:22 UTC 2025","11778","","u-flow-call-function","","","","Open function ""GESAFO""",""
"passed","Fri Mar 28 07:15:41 UTC 2025","Fri Mar 28 07:15:47 UTC 2025","5901","","w-flow-hp-count-001","","","","1-Login scenario",""
"passed","Fri Mar 28 06:49:07 UTC 2025","Fri Mar 28 06:50:07 UTC 2025","60741","","u-flow-api-gesawm-gesanodeb","","","","Check Node Binding record",""
"passed","Fri Mar 28 06:58:55 UTC 2025","Fri Mar 28 06:59:00 UTC 2025","5217","","u-flow-call-function","","","","Open function ""GESACV"" using leftlist selection",""
"passed","Fri Mar 28 06:50:19 UTC 2025","Fri Mar 28 06:50:25 UTC 2025","5511","","u-flow-api-gesawm-gesanodeb","","","","Delete Data model",""
"passed","Fri Mar 28 06:30:43 UTC 2025","Fri Mar 28 06:31:03 UTC 2025","19864","","u-flow-api-activity-codes-package-link","","","","Activity code for packages",""
"passed","Fri Mar 28 06:07:18 UTC 2025","Fri Mar 28 06:07:36 UTC 2025","17949","","u-crud-attach-file-secure","","","","Set ATTSECUR to Yes",""
"passed","Fri Mar 28 06:57:50 UTC 2025","Fri Mar 28 06:57:57 UTC 2025","6239","","u-flow-call-function","","","","Open function ""GESAGB"" using leftlist selection",""
"passed","Fri Mar 28 06:07:36 UTC 2025","Fri Mar 28 06:07:53 UTC 2025","16437","","u-crud-attach-file-secure","","","","Upload files",""
"passed","Fri Mar 28 06:50:25 UTC 2025","Fri Mar 28 06:50:31 UTC 2025","6727","","u-flow-api-gesawm-gesanodeb","","","","Check Node binding is automatically deleted too",""
"skipped","Fri Mar 28 07:03:27 UTC 2025","Fri Mar 28 07:03:27 UTC 2025","2","","u-flow-log-levels","","","","Create Session log for level 16 LOG_JSON",""
"passed","Fri Mar 28 07:08:45 UTC 2025","Fri Mar 28 07:08:47 UTC 2025","1957","","u-flow-patch-create-integration","","","","Log out",""
"passed","Fri Mar 28 06:02:17 UTC 2025","Fri Mar 28 06:02:23 UTC 2025","6031","","u-crud-activitycode","","","","Log in",""
"passed","Fri Mar 28 06:17:23 UTC 2025","Fri Mar 28 06:17:30 UTC 2025","6826","","u-crud-groups-of-tasks","","","","Create task group ZGROUPU",""
"skipped","Fri Mar 28 06:55:31 UTC 2025","Fri Mar 28 06:55:31 UTC 2025","1","","u-flow-api-nodes-based-on-views","","","","Create unique index for view ZAVVTEXTRA",""
